"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"6080",12035837,2420.07143,3,"CX","Al","MO",5178.671,10283400
"6081",12035925,1188.82251,2,"CX","Al","LO",5921.392,8299800
"6082",12036026,699.41125,3,"CX","Al","MO",27578.66,5606100
"6083",12036062,1171.24892,1,"CX","Al","LO",34257.32,1126800
"6084",12036174,1953.38095,3,"CX","Al","MO",25683.14,10439100
"6085",12036209,2106.3961,3,"CX","HS","MO",26226.53,12030300
"6086",12036291,1181.54329,2,"CX","SS","LO",8268.153,3027600
"6087",12036339,1900.66017,3,"CX","Al","MO",27532.33,8580600
"6088",12036341,2240.07143,1,"CX","Al","LO",31659.39,1767600
"6089",12036373,3389.48268,1,"CX","SS","LO",11657.64,1603800
"6090",12036464,1310.95454,2,"CX","Al","LO",3413.452,2251800
"6091",12036473,2048.52814,1,"CX","HS","LO",13766.17,1757700
"6092",12036480,2845.21861,3,"CX","HS","MO",29071.74,10864800
"6093",12036491,812.13203,1,"CX","Al","LO",28344.47,554400
"6094",12036502,923.9697,3,"CX","Al","MO",28456.3,7250400
"6095",12036545,2512.20346,1,"CX","SS","LO",11580.06,2125800
"6096",12036546,704.55844,3,"CX","HS","MO",9772.418,15053400
"6097",12036554,549.41125,1,"CX","Al","LO",29915.13,381600
"6098",12036658,1038.82251,4,"CX","HS","MO",31775.13,13966200
"6099",12036917,816.3961,4,"CX","Al","MO",1480.66,9815092
"6100",12037003,362.13203,4,"CX","Al","MO",664.264,13886692
"6101",12037181,1638.82251,1,"CX","HS","LO",21798.21,1039500
"6102",12037245,644.55844,1,"CX","Al","LO",1978.234,507600
"6103",12037402,1700.95454,1,"CX","HS","LO",24103.43,903600
"6104",12037411,572.13203,3,"CX","Al","MO",22974.61,8021700
"6105",12037466,452.13203,3,"CX","Al","MO",23426.74,7390800
"6106",12037496,699.41125,2,"CX","HS","LO",24126.15,1821600
"6107",12037537,1338.82251,1,"CX","Al","LO",25000.42,882900
"6108",12037538,706.69048,2,"CX","Al","LO",24368.29,4419900
"6109",12037615,591.83766,2,"CX","Al","LO",24960.12,3073500
"6110",12038102,681.83766,2,"CX","Al","LO",2502.792,7336800
"6111",12038139,2480.07143,3,"CX","Pl","MO",7747.494,19027800
"6112",12038421,689.11688,2,"CX","Al","LO",3449.483,3149100
"6113",12039314,1368.82251,2,"CX","Al","LO",16082.19,5132700
"6114",12039518,3861.32034,1,"CX","Al","LO",19204.69,1566000
"6115",12039579,30,3,"CX","Al","MO",30,20413492
"6116",12039593,3279.77705,3,"CX","Al","MO",11258.23,15912900
"6117",12039630,1688.52814,1,"CX","Al","LO",13335.87,615600
"6118",12039704,542.13203,1,"CX","Al","LO",13675.28,401400
"6119",12039733,282.42641,2,"CX","Al","LO",6918.305,1555200
"6120",12039824,724.26407,1,"CX","Al","LO",14918.96,741600
"6121",12039825,679.70563,2,"CX","Al","LO",14874.4,3841200
"6122",12039840,2087.93939,3,"CX","Al","MO",17076.31,8040600
"6123",12039845,2216.10173,2,"CX","Al","LO",17204.47,3582900
"6124",12039850,1756.69048,2,"CX","Al","LO",13871.61,2393100
"6125",12039851,879.41125,1,"CX","Al","LO",12994.33,417600
"6126",12039931,776.98485,2,"CX","Al","LO",13049.18,2750400
"6127",12039933,874.26407,1,"CX","Al","LO",15748.66,526500
"6128",12039934,1691.54329,2,"CX","Al","LO",16565.94,2475000
"6129",12039982,174.85281,2,"CX","Al","LO",13008.89,813600
"6130",12039999,681.83766,2,"CX","Al","LO",13515.87,5933700
"6131",12040072,679.70563,1,"CX","Al","LO",14195.58,378900
"6132",12040099,1161.83766,1,"CX","Al","LO",14693.15,849600
"6133",12040100,1603.67532,1,"CX","Al","LO",15134.99,908100
"6134",12040142,282.42641,2,"CX","Al","LO",17486.9,1871100
"6135",12040183,594.85281,1,"CX","Al","LO",18081.75,348300
